product_name,price
LG전자 120cm OLED TV OLED48C1KNB (설치유형 선택가능),"1,405,800"
LG전자 80cm HD TV 32LM581CBND (스탠드형),"291,400"
삼성전자 163 cm Crystal UHD KU65UA8180FXKR [설치유형 선택가능],"1,041,800"
삼성전자 189 cm Crystal UHD KU75UA8180FXKR + JBL 스피커 무상증정 혜택!,"1,448,000"
LG전자 163cm 울트라HD TV 65UP83RC0NA (설치유형 선택가능),"1,073,400"
삼성전자 214cm Crystal UHD KU85UA8180FXKR + JBL 스피커 무상증정 혜택!,"2,287,000"
LG전자 163cm 울트라HD TV 65UP83RC0NA (스탠드형),"1,073,400"
프리즘코리아 [하이마트 배송] 81cm 바이런 HDTV 패널2년보증 BR320HD [옵션선택가능],"116,600"
삼성전자 138cm UHD TV KU55UA8000FXKR (설치유형 선택가능),"813,400"
LG전자 추가혜택확인 68cm 스탠바이미 TV 27ART10AKPL,"926,200"
유맥스 [하이마트 배송] 109cm FHD TV MX43F (설치유형 선택가능),"226,080"
프리즘코리아 [하이마트 배송] 102cm 바이런  FHDTV 패널2년무상보증/BR400FHD [옵션선택가능],"185,600"
"LG전자 [해외직구] 189cm UHD 나노셀 TV 75NANO80UPA (관부가세, 해외배송비 포함)","1,635,680"
"LG전자 [해외직구] 219cm TV 86NANO75UPA (2021년, 나노셀, 새제품, 관부가세, 해외배송비 포함)","2,366,150"
LG전자 138cm 울트라HD TV 55UP83RC0NA (설치유형선택가능),"806,600"
삼성전자 214cm Crystal UHD KU85UA8180FXKR (설치유형 선택가능),"2,287,000"
삼성전자 189 cm Crystal UHD KU75UA8180FXKR (설치유형 선택가능),"1,448,000"
"유맥스 81cm HD TV MX32H (설치유형, 전용 액세서리 선택구매 가능)","145,800"
유맥스 [하이마트 배송] 127cm UHD TV UHD50L (설치유형 선택가능),"299,680"
더함 [하이마트 배송] 125cm UHD 안드로이드11 스마트 TV UA501UHD [설치유형 선택가능],"373,280"
더함 [하이마트 배송] 165cm QLED 안드로이드11 스마트 TV UA651QLED [설치유형 선택가능],"695,280"
LG전자 [해외직구] 218cm TV 86NANO90UPA 2021년 나노셀 새제품_관부가세/해외배송비 포함,"2,907,920"
삼성전자 125cm 더 세리프 4K UHD TV KQ50LST01EFXKR (클라우드 화이트),"1,496,600"
"LG전자 [해외직구] 218cm 4K UHD TV 86UP8770PUA (관부가세, 해외배송비 포함, NEW)","2,204,080"
삼성전자 125cm UHD TV KU50UA7050FXKR (설치유형 선택가능),"751,400"
LG전자 120cm OLED TV OLED48A1ENA (설치유형 선택가능),"991,800"
삼성전자 108cm(43) LH43BEAHLGF 4K UHD/LED/HDR10+ [설치유형 선택가능],"543,240"
삼성전자 138cm Crystal Processor 4K UHD KU55UA7000FXKR (설치유형 선택가능),"806,600"
유맥스 165cm UHD TV 65UJ21 (스탠드 자가설치),"476,040"
유맥스 165cm UHD 스마트 TV / 65UJ21 (설치유형. 전용 악세서리 선택구매 가능),"476,040"
프리즘코리아 [하이마트 배송] 165cm 바이런  4K HDR TV BR650UHD [옵션선택가능],"474,480"
LG전자 189cm 울트라HD TV 75UP83RC0NA (설치유형 선택가능),"1,607,000"
